Round,Status Quo
0,0.6514336107719744
1,0.6515682813888392
2,0.6515682981607206
3,0.6515682981627897
4,0.6515682981627899
5,0.6515682981627899
6,0.6515682981627899
7,0.6515682981627899
8,0.6515682981627899
9,0.6515682981627899
10,0.6515682981627899
11,0.6515682981627899
12,0.6515682981627899
13,0.6515682981627899
14,0.6515682981627899
15,0.6515682981627899
16,0.6515682981627899
17,0.6515682981627899
18,0.6515682981627899
19,0.6515682981627899
20,0.6515682981627899
21,0.6515682981627899
22,0.6515682981627899
23,0.6515682981627899
24,0.6515682981627899
25,0.6515682981627899
26,0.6515682981627899
27,0.6515682981627899
28,0.6515682981627899
29,0.6515682981627899
30,0.6515682981627899
31,0.6515682981627899
32,0.6515682981627899
33,0.6515682981627899
34,0.6515682981627899
35,0.6515682981627899
36,0.6515682981627899
37,0.6515682981627899
38,0.6515682981627899
39,0.6515682981627899
40,0.6515682981627899
41,0.6515682981627899
42,0.6515682981627899
43,0.6515682981627899
44,0.6515682981627899
45,0.6515682981627899
46,0.6515682981627899
47,0.6515682981627899
48,0.6515682981627899
49,0.6515682981627899
50,0.6515682981627899
51,0.6515682981627899
52,0.6515682981627899
53,0.6515682981627899
54,0.6515682981627899
55,0.6515682981627899
56,0.6515682981627899
57,0.6515682981627899
58,0.6515682981627899
59,0.6515682981627899
60,0.6515682981627899
61,0.6515682981627899
62,0.6515682981627899
63,0.6515682981627899
64,0.6515682981627899
65,0.6515682981627899
66,0.6515682981627899
67,0.6515682981627899
68,0.6515682981627899
69,0.6515682981627899
70,0.6515682981627899
71,0.6515682981627899
72,0.6515682981627899
73,0.6515682981627899
74,0.6515682981627899
75,0.6515682981627899
76,0.6515682981627899
77,0.6515682981627899
78,0.6515682981627899
79,0.6515682981627899
80,0.6515682981627899
81,0.6515682981627899
82,0.6515682981627899
83,0.6515682981627899
84,0.6515682981627899
85,0.6515682981627899
86,0.6515682981627899
87,0.6515682981627899
88,0.6515682981627899
89,0.6515682981627899
90,0.6515682981627899
91,0.6515682981627899
92,0.6515682981627899
93,0.6515682981627899
94,0.6515682981627899
95,0.6515682981627899
96,0.6515682981627899
97,0.6515682981627899
98,0.6515682981627899
99,0.6515682981627899
