,Bosnia,Serbia,Moldova,Finland,"UKR, Kiev","UKR, Western Ukraine less Kiev","UKR, Eastern Ukraine","NATO, sans USA","NATO, the United States",Sweden,Russia
Bosnia,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Serbia,0.25,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Moldova,0.16666666666666666,0.25,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Finland,0.16666666666666666,0.25,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"UKR, Kiev",0.16666666666666666,0.25,0.25,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"UKR, Western Ukraine less Kiev",0.16666666666666666,0.25,0.25,0.25,0.5,1.0,0.5,0.5,0.5,0.5,0.5
"UKR, Eastern Ukraine",0.16666666666666666,0.25,0.25,0.25,0.25,0.5,1.0,0.5,0.5,0.5,0.5
"NATO, sans USA",0.25,0.25,0.5,0.25,0.25,0.25,0.5,1.0,0.5,0.5,0.5
"NATO, the United States",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,0.5,0.5
Sweden,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,0.5
Russia,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0
