Round,Bosnia,Serbia,Moldova,Finland,"UKR, Kiev","UKR, Western Ukraine less Kiev","UKR, Eastern Ukraine","NATO, sans USA","NATO, the United States",Sweden,Russia
0,0.01,0.01,0.5,0.1,0.2,0.15,0.55,0.15,0.15,0.4,1.0
1,0.3703053237163721,0.562846327873338,0.5692329038795579,0.6203972363956398,0.6587585071642799,0.6478992727747841,0.6250165478984184,0.46270851686970554,0.33486336681883244,0.3615781913817918,0.8092702410154984
2,0.5034816938819389,0.6984753393064618,0.5696634798419031,0.6204653722623958,0.6588300227302462,0.6479723634820526,0.6250902088960755,0.462810779025049,0.3349943541333398,0.36172307543360765,0.8093850871129291
3,0.5035611016483651,0.6984753498753546,0.5696634887169045,0.620465380799141,0.6588300317109097,0.6479723726595774,0.6250902181294168,0.4628107918254569,0.33499437047037206,0.3617230934772058,0.8093851014161865
4,0.5035611114449778,0.6984753498766589,0.5696634887179994,0.6204653808001942,0.6588300317120175,0.6479723726607096,0.6250902181305558,0.4628107918270361,0.3349943704723876,0.3617230934794319,0.8093851014179511
5,0.5035611114461864,0.698475349876659,0.5696634887179995,0.6204653808001943,0.6588300317120176,0.6479723726607097,0.625090218130556,0.4628107918270363,0.33499437047238784,0.3617230934794321,0.8093851014179512
6,0.5035611114461864,0.698475349876659,0.5696634887179995,0.6204653808001943,0.6588300317120176,0.6479723726607097,0.625090218130556,0.4628107918270363,0.33499437047238784,0.3617230934794321,0.8093851014179512
7,0.5035611114461864,0.698475349876659,0.5696634887179995,0.6204653808001943,0.6588300317120176,0.6479723726607097,0.625090218130556,0.4628107918270363,0.33499437047238784,0.3617230934794321,0.8093851014179512
8,0.5035611114461864,0.698475349876659,0.5696634887179995,0.6204653808001943,0.6588300317120176,0.6479723726607097,0.625090218130556,0.4628107918270363,0.33499437047238784,0.3617230934794321,0.8093851014179512
9,0.5035611114461864,0.698475349876659,0.5696634887179995,0.6204653808001943,0.6588300317120176,0.6479723726607097,0.625090218130556,0.4628107918270363,0.33499437047238784,0.3617230934794321,0.8093851014179512
