Round,Bosnia,Serbia,Moldova,Finland,"UKR, Kiev","UKR, Western Ukraine less Kiev","UKR, Eastern Ukraine","NATO, sans USA","NATO, the United States",Sweden,Russia
0,0.7792875792957192,0.7792875792957193,0.9995919763689785,0.8557516522275423,0.9217117332629013,0.8912316927452218,0.9950720168866578,0.891231692745222,0.8912316927452218,0.9936318953336194,0.7293923815457733
1,0.9209668862171829,0.9921522933086371,0.9932430437863872,0.999036743465572,0.999946345892842,0.9999875084549216,0.9993021387891344,0.9643828389315798,0.8997832806434483,0.9159838358501413,0.9750875981533691
2,0.9780703626005611,0.9977997279175129,0.9932916034835569,0.9990326090438723,0.9999472671126906,0.9999870693744076,0.9992989116770679,0.9643706053013837,0.8997809485820298,0.9159897565847694,0.9750938558310448
3,0.978093869780553,0.9977997284994407,0.9932916021899721,0.9990326085315987,0.999947267225846,0.9999870693197902,0.9992989112778559,0.9643706038020929,0.899780948306706,0.9159897573219715,0.9750938566102256
4,0.9780938726798787,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103217
5,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
6,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
7,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
8,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
9,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
10,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
11,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
12,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
13,0.9780938726802364,0.9977997284995125,0.9932916021898126,0.9990326085315356,0.99994726722586,0.9999870693197835,0.9992989112778066,0.964370603801908,0.8997809483066721,0.9159897573220624,0.9750938566103218
