Round,player_a,player_b,player_c
0,1.0,0.0,0.75
1,0.9656322562458304,0.19413297612344388,0.8352308846889716
2,0.33289764589092674,0.1272957013617979,0.9004636724703996
3,0.281892646029371,0.009568966416831026,0.8370471296318984
4,0.20925154618299374,0.035755616093810505,0.6944682752165133
5,0.12277443323976739,0.0,0.617601461791673
6,0.07548644892666095,0.0,0.67376381482357
7,0.09512534297858405,0.0,0.6823396512878668
8,0.101045979632165,0.0,0.684893946623562
9,0.10282188687490862,0.0,0.603769360833583
10,0.0671756665135636,0.0,0.6701039404200548
11,0.09261348774033695,0.0,0.6812525239515883
12,0.10029167452664534,0.0,0.6845691617220684
13,0.10259579286414189,0.0,0.6036116569256285
14,0.06708103157877487,0.0,0.6700621399399469
15,0.09258485463301847,0.0,0.6812401197483295
16,0.1002830730948534,0.0,0.6845654570835249
17,0.10259321441475228,0.0,0.603609858450033
18,0.06707995236107933,0.0,0.6700616632306489
19,0.0925845280968483,0.0,0.681239978287433
