Round,player_a,player_b,player_c
0,0.8263888888888888,0.6597222222222223,0.9722222222222222
1,0.7975059939462887,0.8966339304727047,0.8978609736999937
2,0.9531780930854147,0.8219281132977669,0.8766709755900554
3,0.9731367317334368,0.8097087462675292,0.8469200681520517
4,0.9736744536123804,0.8872736691162957,0.8956934551332154
5,0.9701851881189256,0.9127127870912051,0.8962146306275888
6,0.9646962556077142,0.9306313150239224,0.8315845956586394
7,0.9669855783559599,0.9233684430398649,0.8355571004839151
8,0.9676767999875207,0.9211330958431535,0.8367343633239978
9,0.9678826881226323,0.9204563029005243,0.8964869507223417
10,0.9636816411514707,0.9335652319850274,0.8299637566957858
11,0.9666900680837107,0.9243070185323424,0.8350592767450595
12,0.9675891476210652,0.9214196786336084,0.8365840846892434
13,0.9678565133418273,0.9205426283402056,0.896489924830247
14,0.9636700007714932,0.9335982698215173,0.8299453680340656
15,0.966686691777884,0.9243176839822873,0.8350536075450008
16,0.9675881474136016,0.9214229435439777,0.8365823715444977
17,0.9678562147735192,0.9205436125514199,0.8964899587298515
18,0.9636698680131791,0.9335986465371826,0.8299451583384395
19,0.9666866532729906,0.9243178056082874,0.8350535428933356
