Round,player1,player2,player3,player4,player5
0,0.1,0.2,0.3,0.21,0.3
1,0.06117287131252214,0.18417192585370734,0.07456101109090124,0.7591011113504645,0.7525656966225289
2,0.19428608592946317,0.1142916223271927,0.09473442977981855,0.7350654008160915,0.7300929302195807
3,0.0,0.08240371324124912,0.0,0.6820712557060563,0.679355499927331
4,0.15403354663240004,0.07332747775967041,0.053006938906392465,0.6931728523536691,0.688298522537491
5,0.0,0.06993490467992658,0.0,0.6782015716582486,0.6753918462212454
6,0.1509094609828251,0.07035599866294895,0.050047171611790287,0.6902092866590025,0.6853300417237511
7,0.0,0.06801656552150287,0.0,0.6772255696860072,0.6744337199383923
8,0.1503480186311878,0.06976993196091841,0.04947380915089172,0.6896379132819835,0.6847583082119042
9,0.0,0.06764796314946142,0.0,0.6770380388257369,0.6742496231086936
10,0.1502401469675399,0.069657330186913,0.04936364715163327,0.6895281333978938,0.6846484591837592
11,0.0,0.06757714367787471,0.0,0.6770020085037278,0.6742142525582104
12,0.15021942178511066,0.06963569625488875,0.04934248192680363,0.6895070415860447,0.6846273540893011
13,0.0,0.06756353730963716,0.0,0.6769950860853569,0.674207456899806
14,0.1502154399138536,0.06963153978950976,0.04933841551126761,0.6895029892750617,0.6846232992264379
15,0.0,0.06756092315788714,0.0,0.6769937561012587,0.6742061512697188
16,0.1502146748888027,0.0696307412202622,0.049337634242970385,0.6895022107166273,0.684622520177721
17,0.0,0.0675604209087684,0.0,0.6769935005754076,0.6742059004229304
18,0.15021452790684753,0.06963058779356357,0.04933748414024902,0.6895020611345436,0.6846223705014409
19,0.0,0.06756032441316273,0.0,0.6769934514819977,0.6742058522284947
