Round,player1,player2,player3,player4,player5
0,0.985116,0.999516,0.993916,0.999856,0.993916
1,0.8698784873427998,0.9434870424237642,0.8793580809032864,0.8862930279887924,0.8906578607380519
2,0.9563139771524167,0.9164752547268864,0.9047884602070885,0.8899304594135962,0.8932051402265966
3,0.8798560910695461,0.9301909089996421,0.8798560910695461,0.8874709883975415,0.8892856323141098
4,0.9569421307255223,0.9169350127878046,0.9048089246734026,0.8900179588855608,0.8932272004689834
5,0.8825744688465016,0.925613337430722,0.8825744688465016,0.8874213082650082,0.8892988939146255
6,0.9568785374752101,0.9169346837805326,0.9048157992419137,0.8900130886824518,0.8932256140338285
7,0.8832141371810674,0.9250757735958739,0.8832141371810674,0.8874490744269448,0.8893145335881305
8,0.9568828255625448,0.9169264412334808,0.9048148151069799,0.890012827244453,0.8932255918001845
9,0.8833368467007223,0.9249722604650793,0.8833368467007223,0.8874544065947562,0.8893175364604705
10,0.9568836494532573,0.9169248581653281,0.9048146260141405,0.8900127770570443,0.8932255875387218
11,0.8833604155837058,0.9249523644319138,0.8833604155837058,0.8874554309735209,0.8893181133279636
12,0.9568838077466304,0.9169245540357372,0.904814589683802,0.8900127674163009,0.8932255867203736
13,0.8833649435462338,0.9249485415583355,0.8833649435462338,0.8874556277815633,0.88931822415736
14,0.9568838381591216,0.9169244956049959,0.9048145827037455,0.8900127655641135,0.8932255865631614
15,0.8833658134805398,0.9249478070697963,0.8833658134805398,0.8874556655935955,0.8893182454505876
16,0.956883844002184,0.9169244843789023,0.9048145813626877,0.8900127652082604,0.8932255865329572
17,0.8833659806180381,0.9249476659543143,0.8833659806180381,0.8874556728583032,0.8893182495415878
18,0.956883845124794,0.9169244822220679,0.9048145811050342,0.8900127651398916,0.8932255865271542
19,0.8833660127296472,0.9249476388422081,0.8833660127296472,0.8874556742540494,0.8893182503275792
